,PPZFA,PPZFA,PPZFA,PPZFA,PRICE,PRICE,Rate
,mean,median,std,count,sum,mean,mean
BOROUGH,,,,,,,
Brooklyn,248.67,228.5,137.83,540,4878662950,9034561.02,2.36
Manhattan,391.98,340.0,269.94,193,5849147891,30306465.76,2.48
Queens,222.18,209.0,121.76,254,3159842021,12440322.92,2.88
Staten Island,91.47,64.0,99.69,15,44161000,2944066.67,2.32
The Bronx,94.04,82.0,46.06,297,2687853399,9050011.44,2.28
